Timestamp;Temperature (°C);Humidity (%);NH3 (ppm);Lux
26/04/26 20.42;30,3;87,6;16,3;23,3
26/04/26 21.12;30,0;88,4;19,0;0,0
26/04/26 21.42;29,5;89,8;19,2;0,0
26/04/26 22.12;29,0;91,3;16,9;0,0
26/04/26 22.42;28,7;92,1;18,6;0,0
26/04/26 23.12;28,2;93,5;13,6;0,0
26/04/26 23.42;28,0;94,1;19,8;0,0
27/04/26 00.12;27,8;94,7;15,4;0,0
27/04/26 00.42;27,4;95,8;19,7;0,0
27/04/26 01.12;27,0;96,9;18,2;0,0
27/04/26 01.42;27,1;96,7;7,3;0,0
27/04/26 02.12;26,8;97,5;6,7;0,0
27/04/26 02.42;26,1;99,5;7,5;0,0
27/04/26 03.12;26,0;99,8;20,7;0,0
27/04/26 03.42;26,0;99,8;23,9;0,0
27/04/26 04.12;26,3;98,9;23,2;23,3
27/04/26 04.42;26,5;98,4;25,4;23,3
27/04/26 05.12;26,9;97,2;18,7;23,5
27/04/26 05.42;27,0;96,9;27,9;24,1
27/04/26 06.12;27,3;96,1;22,5;29,1
27/04/26 06.42;27,7;95,0;25,0;30,4
27/04/26 07.12;27,9;94,4;17,4;33,5
27/04/26 07.42;28,0;94,1;20,7;38,8
27/04/26 08.12;28,7;92,1;18,4;47,2
27/04/26 08.42;29,0;91,3;17,6;65,3
27/04/26 09.12;29,3;90,4;16,9;79,2
27/04/26 09.42;29,9;88,7;22,8;87,9
27/04/26 10.12;30,0;88,4;20,6;95,2
27/04/26 10.42;30,4;87,3;20,8;97,8
27/04/26 11.12;30,7;86,4;9,6;103,7
27/04/26 11.42;31,0;85,6;26,4;105,9
27/04/26 12.12;31,5;84,2;13,7;113,9
27/04/26 12.42;32,0;82,7;16,2;127,2
27/04/26 13.12;33,0;79,9;19,5;133,8
27/04/26 13.42;33,2;79,3;9,2;143,7
27/04/26 14.12;32,5;81,3;10,1;154,9
27/04/26 14.42;32,0;82,7;22,9;151,2
27/04/26 15.12;31,9;83,0;8,7;141,3
27/04/26 15.42;31,0;85,6;9,2;136,4
27/04/26 16.12;32,6;81,0;8,5;128,2
27/04/26 16.42;33,3;79,1;25,4;127,1
27/04/26 17.12;31,0;85,6;21,7;101,9
27/04/26 17.42;29,9;88,7;21,2;87,5
27/04/26 18.12;29,7;89,3;20,0;78,4
27/04/26 18.42;29,1;91,0;7,6;23,3
27/04/26 19.12;29,0;91,3;18,7;23,4
27/04/26 19.42;28,7;92,1;18,8;23,3
27/04/26 20.12;28,5;92,7;17,8;23,3
27/04/26 20.42;28,0;94,1;17,9;23,3
27/04/26 21.12;28,0;94,1;19,2;0,0
27/04/26 21.42;28,0;94,1;18,1;0,0
27/04/26 22.12;28,4;93,0;16,7;0,0
27/04/26 22.42;28,1;93,8;6,6;0,0
27/04/26 23.12;27,9;94,4;17,5;0,0
27/04/26 23.42;27,5;95,5;17,0;0,0
28/04/26 00.12;27,0;96,9;8,6;0,0
28/04/26 00.42;27,0;96,9;16,1;0,0
28/04/26 01.12;27,0;96,9;20,0;0,0
28/04/26 01.42;27,0;96,9;31,5;0,0
28/04/26 02.12;26,5;98,4;26,8;0,0
28/04/26 02.42;26,0;99,8;20,6;0,0
28/04/26 03.12;26,0;99,8;20,1;0,0
28/04/26 03.42;26,3;98,9;22,2;0,0
28/04/26 04.12;26,4;98,6;21,4;23,7
28/04/26 04.42;26,9;97,2;20,3;23,3
28/04/26 05.12;27,0;96,9;20,1;23,3
28/04/26 05.42;27,0;96,9;15,0;23,3
28/04/26 06.12;27,4;95,8;9,1;36,7
28/04/26 06.42;27,9;94,4;18,6;39,2
28/04/26 07.12;28,5;92,7;17,9;93,5
28/04/26 07.42;29,0;91,3;17,3;104,2
28/04/26 08.12;29,0;91,3;9,7;95,0
28/04/26 08.42;29,7;89,3;13,9;82,5
28/04/26 09.12;30,0;88,4;13,8;95,8
28/04/26 09.42;30,1;88,1;14,4;120,0
28/04/26 10.12;30,4;87,3;15,8;111,7
28/04/26 10.42;30,9;85,9;16,4;126,7
28/04/26 11.12;31,0;85,6;21,0;124,2
28/04/26 11.42;31,5;84,2;16,4;144,2
28/04/26 12.12;31,8;83,3;21,0;177,0
28/04/26 12.42;32,0;82,7;16,1;138,5
28/04/26 13.12;32,0;82,7;14,6;140,3
28/04/26 13.42;33,7;77,9;16,1;155,0
28/04/26 14.12;34,5;75,6;15,0;167,3
28/04/26 14.42;33,0;79,9;14,0;180,9
28/04/26 15.12;31,6;83,9;14,8;154,2
28/04/26 15.42;31,0;85,6;15,0;129,5
28/04/26 16.12;31,0;85,6;15.4;111,3
28/04/26 16.42;32,1;82,5;16.3;80,3
28/04/26 17.12;31,8;83,3;13.6;54,3
28/04/26 17.42;31,3;84,7;14.0;23,3
28/04/26 18.12;30,0;88,4;12.0;23,3
28/04/26 18.42;30,0;88,4;15.9;23,3
28/04/26 19.12;29,5;89,8;12.8;23,3
28/04/26 19.42;29,1;91,0;12.4;23,3
28/04/26 20.12;29,4;90,1;11.4;23,3
28/04/26 20.42;29,0;91,3;11.1;23,3
28/04/26 21.12;29,1;91,0;10.8;0,0
28/04/26 21.42;29,0;91,3;12.7;0,0
28/04/26 22.12;28,9;91,5;14.0;0,0
28/04/26 22.42;28,5;92,7;15.8;0,0
28/04/26 23.12;28,0;94,1;15.3;0,0
28/04/26 23.42;28,4;93,0;18.2;0,0
29/04/26 00.12;28,2;93,5;10.8;0,0
29/04/26 00.42;27,9;94,4;9.1;0,0
29/04/26 01.12;27,5;95,5;18.1;0,0
29/04/26 01.42;27,2;96,4;13.2;0,0
29/04/26 02.12;26,8;97,5;10.6;0,0
29/04/26 02.42;26,5;98,4;14.0;0,0
29/04/26 03.12;26,3;98,9;12.7;0,0
29/04/26 03.42;26,0;99,8;16.6;0,0
29/04/26 04.12;26,0;99,8;12.9;23,3
29/04/26 04.42;26,4;98,6;10.0;23,3
29/04/26 05.12;26,9;97,2;10.0;23,3
29/04/26 05.42;26,8;97,5;12.1;23,3
29/04/26 06.12;27,0;96,9;12.0;30,0
29/04/26 06.42;27,1;96,7;15.1;24,2
29/04/26 07.12;27,5;95,5;16.8;77,5
29/04/26 07.42;27,9;94,4;9.9;74,2
29/04/26 08.12;28,0;94,1;14.2;69,2
29/04/26 08.42;28,0;94,1;11.8;94,2
29/04/26 09.12;28,4;93,0;12.3;125,8
29/04/26 09.42;29,0;91,3;8.9;127,2
29/04/26 10.12;29,5;89,8;8.7;129,7
29/04/26 10.42;30,1;88,1;11.1;137,2
29/04/26 11.12;30,9;85,9;12.6;143,7
29/04/26 11.42;31,0;85,6;11.9;155,2
29/04/26 12.12;31,4;84,4;10.3;183,0
29/04/26 12.42;31,6;83,9;11.1;170,0
29/04/26 13.12;33,0;79,9;9.0;370,0
29/04/26 13.42;33,2;79,3;11.0;234,0
29/04/26 14.12;32,4;81,6;13.1;176,0
29/04/26 14.42;31,9;83,0;11.8;65,0
29/04/26 15.12;31,5;84,2;10.8;183,3
29/04/26 15.42;31,7;83,6;11.2;66,0
29/04/26 16.12;31,4;84,4;12.3;50,3
29/04/26 16.42;31,3;84,7;10.3;20,0
29/04/26 17.12;31,2;85,0;9.3;24,6
29/04/26 15.48;31,3;80,7;10.6;24,6
29/04/26 16.18;31,2;81,3;9.5;24,6
29/04/26 16.48;31,2;81,6;9.5;24,3
29/04/26 17.18;31,1;81,8;9.1;23,5
29/04/26 18.06;30,0;85,4;9.8;23,3
29/04/26 18.36;29,7;88,3;8.9;23,3
29/04/26 19.06;29,6;89,5;10.2;23,3
29/04/26 19.36;27,6;94,3;8.7;23,3
29/04/26 20.07;25,3;95,4;9.2;23,3
29/04/26 20.37;25,0;94,8;10.1;23,3
29/04/26 21.07;25,5;96,4;10.5;0,0
29/04/26 21.37;25,5;96,9;10.9;0,0
29/04/26 22.07;25,9;96,8;12.4;0,0
29/04/26 22.37;25,9;97,8;19.3;0,0
29/04/26 23.07;25,9;98,4;10.9;0,0
29/04/26 23.37;25,9;98,0;11.2;0,0
30/04/26 00.07;25,7;97,4;17.8;0,0
30/04/26 00.37;25,8;96,8;14.8;0,0
30/04/26 01.07;25,5;96,4;13.7;0,0
30/04/26 01.37;25,4;96,2;13.9;0,0
30/04/26 02.07;25,2;96,3;20.4;0,0
30/04/26 02.37;25,1;97,3;18.7;0,0
30/04/26 03.07;25,1;96,2;15.0;0,0
30/04/26 03.37;25,0;97,2;16.0;0,0
30/04/26 04.07;25,2;95,4;18.0;23,3
30/04/26 04.37;25,2;95,9;12.2;23,3
30/04/26 05.07;24,8;97,9;17.1;23,3
30/04/26 05.37;25,2;96,2;14.2;23,3
30/04/26 06.07;25,4;96,3;13.9;23,3
30/04/26 06.37;25,6;95,5;18.1;23,3
30/04/26 07.07;26,1;95,0;9.6;25,8
30/04/26 07.37;27,8;91,8;9.2;62,5
30/04/26 08.07;29,4;87,0;9.2;75,0
30/04/26 08.37;30,6;78,8;7.7;93,3
30/04/26 09.07;31,5;79,2;6.8;118,3
30/04/26 09.37;32,5;76,1;5.2;117,2
30/04/26 10.07;31,9;76,5;10.9;92,0
30/04/26 10.37;33,0;75,0;11.6;115,0
30/04/26 11.07;33,3;70,3;8.2;127,5
30/04/26 11.37;34,8;71,4;11.9;133,3
30/04/26 12.07;34,4;70,7;14.5;145,8
30/04/26 12.37;33,2;73,5;9.4;70,0
30/04/26 13.07;30,3;79,5;11.0;15,8
30/04/26 13.37;28,9;81,9;11.4;40,0
30/04/26 14.07;28,6;86,9;8.6;22,5
30/04/26 14.37;27,8;90,2;8.5;23,3
30/04/26 15.07;27,8;91,7;9.8;15,8
30/04/26 15.37;26,9;93,8;10.8;33,3
30/04/26 16.07;27,0;95,8;10.0;33,3
30/04/26 16.37;26,7;94,8;8.2;33,3
30/04/26 17.07;26,7;95,5;11.4;32,0
30/04/26 17.37;27,0;96,4;8.4;29,4
30/04/26 18.07;26,8;95,9;12.1;23,3
30/04/26 19.07;26,5;96,7;9.5;23,3
30/04/26 19.37;26,5;96,4;9.7;23,3
30/04/26 20.07;26,4;96,9;9.5;23,3
30/04/26 20.37;26,2;95,9;8.5;23,3
30/04/26 21.07;25,8;98,0;8.9;0,0
30/04/26 21.37;26,1;97,2;9.6;0,0
30/04/26 22.07;26,2;97,1;9.6;0,0
30/04/26 22.37;26,1;97,8;12.6;0,0
30/04/26 23.07;25,8;96,6;9.8;0,0
30/04/26 23.37;25,9;96,6;9.8;0,0
01/05/26 00.07;25,6;98,1;8.5;0,0
01/05/26 00.37;25,6;96,9;7.5;0,0
01/05/26 01.07;25,6;96,7;9.2;0,0
01/05/26 01.37;25,4;97,0;9.0;0,0
01/05/26 02.07;25,4;96,3;6.6;0,0
01/05/26 02.37;25,3;96,9;8.3;0,0
01/05/26 03.07;25,2;96,7;9.1;0,0
01/05/26 03.37;25,0;96,1;10.1;0,0
01/05/26 04.07;24,8;96,3;8.2;23,3
01/05/26 04.37;24,8;96,3;7.3;23,3
01/05/26 05.07;24,5;96,0;11.9;24,0
01/05/26 05.37;24,6;95,9;8.0;24,8
01/05/26 06.07;24,9;95,8;8.7;26,0
01/05/26 06.37;25,4;94,7;9.8;30,0
01/05/26 07.07;26,6;92,9;7.7;55,0
01/05/26 07.37;28,3;88,2;9.5;69,2
01/05/26 09.04;30,4;81,2;8.7;79,3
01/05/26 09.34;32,0;77,3;11.5;114,2
01/05/26 10.04;32,6;76,1;13.7;136,7
01/05/26 10.34;32,9;72,0;8.2;114,2
01/05/26 11.04;33,4;70,6;8.2;132,0
01/05/26 11.34;34,8;69,0;13.3;151,7
01/05/26 12.04;33,8;71,8;11.8;126,0
01/05/26 12.34;34,3;71,5;10.9;84,2
01/05/26 13.04;34,1;72,9;11.5;183,3
01/05/26 13.34;33,9;74,0;11.0;191,7
01/05/26 14.04;32,7;73,4;13.2;102,0
01/05/26 14.34;31,5;79,3;11.7;56,7
01/05/26 15.04;31,8;79,3;12.5;61,2
01/05/26 15.34;30,6;78,4;12.6;39,2
01/05/26 16.04;30,8;80,9;11.7;58,3
01/05/26 16.34;31,0;78,2;14.0;56,7
01/05/26 17.04;30,1;83,1;12.1;27,0
01/05/26 17.34;29,6;87,5;12.5;25,0
01/05/26 18.04;29,0;89,6;9.2;24,0
01/05/26 18.34;28,8;91,7;11.1;22,5
01/05/26 19.04;28,5;92,5;13.7;22,5
01/05/26 19.34;28,5;91,5;14.6;22,5
01/05/26 20.04;28,1;93,9;13.4;22,5
01/05/26 20.34;27,9;93,8;11.7;22,5
01/05/26 21.04;27,8;93,6;15.4;0,0
01/05/26 21.34;27,6;92,9;15.0;0,0
01/05/26 22.04;27,7;93,6;14.0;0,0
01/05/26 22.34;27,3;93,0;13.1;0,0
01/05/26 23.04;27,2;92,5;12.1;0,0
01/05/26 23.34;27,2;93,0;11.5;0,0
02/05/26 00.04;26,7;95,6;12.6;0,0
02/05/26 00.34;26,6;96,2;11.1;0,0
02/05/26 01.04;26,8;95,1;12.6;0,0
02/05/26 01.34;26,6;95,4;11.7;0,0
02/05/26 02.04;26,7;96,1;13.9;0,0
02/05/26 02.34;26,8;96,8;10.4;0,0
02/05/26 03.04;26,7;96,3;9.2;0,0
02/05/26 03.34;26,4;97,1;15.7;0,0
02/05/26 04.04;26,1;97,2;14.9;22,5
02/05/26 04.34;25,7;96,4;9.3;22,5
02/05/26 05.04;26,1;94,7;11.4;22,5
02/05/26 05.34;25,8;93,7;9.8;22,5
02/05/26 06.04;25,9;95,6;12.7;23,7
02/05/26 06.34;26,5;94,9;8.7;24,3
02/05/26 07.04;27,5;90,6;7.7;50,0
02/05/26 07.34;29,1;87,2;14.8;65,0
02/05/26 08.04;30,4;79,8;21.1;81,7
02/05/26 08.34;31,2;79,0;26.4;45,8
02/05/26 09.04;32,2;77,5;21.6;108,3
02/05/26 09.34;30,3;82,0;17.5;53,3
02/05/26 10.04;30,7;82,0;22.3;40,0
02/05/26 10.34;33,3;72,0;23.8;125,8
02/05/26 11.04;33,9;69,7;18.2;135,0
02/05/26 11.34;33,7;73,5;13.8;127,0
02/05/26 12.04;34,3;71,2;10.5;136,5
02/05/26 12.34;33,0;73,2;10.4;92,5
02/05/26 13.04;33,3;74,1;9.6;75,0
02/05/26 13.34;33,2;72,5;9.6;167,5
02/05/26 14.04;32,3;74,6;9.2;77,5
02/05/26 14.34;31,5;76,2;11.2;33,3
02/05/26 15.04;29,8;82,7;13.0;18,3
02/05/26 15.34;29,3;84,8;11.6;33,3
02/05/26 16.04;29,2;86,1;13.8;15,0
02/05/26 16.34;29,3;86,4;11.9;23,3
02/05/26 17.04;28,8;90,0;12.1;23,2
02/05/26 17.34;28,3;91,9;11.2;22,9
02/05/26 18.04;28,4;92,7;13.8;22,5
02/05/26 18.34;28,0;94,2;14.3;22,5
02/05/26 19.04;28,1;93,9;14.2;22,5
02/05/26 19.34;28,1;94,0;13.6;22,5
02/05/26 20.04;28,5;92,5;13.5;22,5
02/05/26 20.34;28,1;92,5;13.7;22,4
02/05/26 21.04;27,6;91,7;13.4;0,0
02/05/26 21.34;27,3;94,6;13.4;0,0
02/05/26 22.04;27,2;94,5;13.7;0,0
02/05/26 22.34;27,0;94,4;12.7;0,0
02/05/26 23.04;27,0;93,7;11.1;0,0
02/05/26 23.34;26,9;95,3;11.1;0,0
03/05/26 00.04;26,8;93,7;9.0;0,0
03/05/26 00.34;26,9;95,8;10.1;0,0
03/05/26 01.04;26,6;94,1;10.3;0,0
03/05/26 01.34;26,4;94,7;9.7;0,0
03/05/26 02.04;26,6;94,5;9.6;0,0
03/05/26 02.34;26,5;95,1;10.4;0,0
03/05/26 03.04;26,5;94,1;10.4;0,0
03/05/26 03.34;26,7;95,0;9.8;0,0
03/05/26 04.04;26,7;93,7;10.0;22,5
03/05/26 04.34;26,7;93,9;10.2;22,5
03/05/26 05.04;26,7;91,8;13.6;22,5
03/05/26 05.34;26,4;92,9;12.9;22,2
03/05/26 06.04;26,1;95,5;12.1;22,5
03/05/26 06.34;26,7;93,4;12.4;22,5
03/05/26 07.04;27,5;92,7;11.9;22,5
03/05/26 07.34;28,7;89,1;10.3;55,8
03/05/26 08.04;30,2;82,9;11.3;79,2
03/05/26 08.34;31,4;76,5;13.6;87,5
03/05/26 09.04;31,6;76,7;11.4;95,8
03/05/26 09.34;32,7;74,5;13.3;113,3
03/05/26 10.04;33,9;66,3;18.0;112,5
03/05/26 10.34;34,2;66,2;12.2;116,7
03/05/26 11.04;34,6;66,9;17.1;135,0
03/05/26 11.34;34,4;64,9;14.2;128,3
03/05/26 12.04;34,1;68,1;13.9;140,7
03/05/26 12.34;34,5;66,7;18.1;148,3
03/05/26 13.04;34,2;67,9;13.9;180,8
03/05/26 13.34;34,0;67,5;14.6;188,3
03/05/26 14.04;33,1;71,2;15.5;167,5
03/05/26 14.34;32,8;71,4;14.4;163,3
03/05/26 15.04;32,7;72,9;15.9;124,7
03/05/26 15.34;32,3;71,2;15.2;96,7
03/05/26 16.04;32,0;74,1;16.6;75,2
03/05/26 17.32;30,1;82,4;20.7;40,4
03/05/26 18.02;29,7;86,8;16.3;23,9
03/05/26 18.32;28,8;92,6;15.6;22,5
03/05/26 19.02;28,6;93,6;15.1;22,5
03/05/26 19.32;28,1;94,5;12.4;22,5
03/05/26 20.02;27,6;93,9;14.7;22,5
03/05/26 20.32;26,9;93,0;8.8;22,5
03/05/26 21.02;26,7;94,1;15.4;0,0
03/05/26 21.32;26,8;95,7;12.4;0,0
03/05/26 22.02;26,7;95,6;11.3;0,0
03/05/26 22.32;26,5;96,7;14.8;0,0
03/05/26 23.32;27,1;94,0;12.1;0,0
04/05/26 00.02;26,6;95,4;11.3;0,0
04/05/26 00.32;26,3;95,9;12.9;0,0
04/05/26 01.02;26,5;94,5;13.0;0,0
04/05/26 01.32;26,0;96,6;12.3;0,0
04/05/26 02.02;25,9;97,7;12.7;0,0
04/05/26 02.32;26,1;95,6;14.0;0,0
04/05/26 03.02;25,9;96,7;13.0;0,0
04/05/26 03.32;26,1;95,6;12.5;0,0
04/05/26 04.02;26,0;96,8;12.7;22,5
04/05/26 04.32;26,2;95,9;13.1;22,5
04/05/26 05.02;26,3;96,1;15.9;22,5
04/05/26 05.32;26,2;94,4;14.6;22,7
04/05/26 06.02;26,2;93,3;18.0;22,8
04/05/26 06.32;26,1;95,3;12.4;37,5
04/05/26 07.02;27,1;94,3;20.0;86,7
04/05/26 07.32;27,9;91,6;24.6;128,3
04/05/26 08.02;29,0;88,1;23.9;133,3
04/05/26 08.32;29,9;83,2;14.5;136,7
04/05/26 09.02;30,7;80,3;19.6;196,7
04/05/26 09.32;31,7;73,5;13.2;250,8
04/05/26 10.02;32,6;73,7;15.1;293,3
04/05/26 10.32;31,9;74,3;20.4;196,7
04/05/26 11.02;34,0;71,7;14.6;385,0
04/05/26 11.32;33,5;70,2;17.7;407,8
04/05/26 12.02;34,0;68,3;13.6;564,2
04/05/26 12.32;34,5;68,8;13.8;587,2
04/05/26 13.02;34,4;67,2;14.0;941,2
04/05/26 13.32;31,9;72,8;14.6;156,7
04/05/26 14.02;28,4;81,8;15.0;40,8
04/05/26 14.32;28,1;86,7;12.2;65,0
04/05/26 15.02;26,7;94,8;19.2;55,8
04/05/26 15.32;26,8;91,8;15.6;49,2
04/05/26 16.02;26,2;92,0;17.0;25,0
04/05/26 16.32;26,3;94,1;22.9;20,8
04/05/26 17.02;26,5;95,4;20.5;22,7
04/05/26 17.32;26,6;96,0;17.1;22,3
04/05/26 18.02;26,5;96,1;18.2;21,0
04/05/26 18.32;26,5;96,1;17.9;21,6
04/05/26 19.02;26,4;95,7;18.9;22,5
04/05/26 19.32;26,7;95,7;19.3;22,5
04/05/26 20.02;26,6;97,5;15.7;22,5
04/05/26 20.32;27,0;95,9;16.7;22,5
04/05/26 21.02;26,6;97,2;15.5;0,0
04/05/26 21.32;26,7;96,7;16.0;0,0
04/05/26 22.02;26,5;97,5;14.6;0,0
04/05/26 22.32;26,6;97,3;16.2;0,0
04/05/26 23.02;26,2;98,7;13.5;0,0
04/05/26 23.32;26,3;97,7;12.8;0,0
05/05/26 00.02;26,3;97,7;12.9;0,0
05/05/26 00.32;25,6;98,3;14.2;0,0
05/05/26 01.02;25,8;99,2;13.5;0,0
05/05/26 01.32;25,3;99,9;11.1;0,0
05/05/26 02.02;25,8;96,9;12.7;0,0
05/05/26 02.32;25,8;95,5;12.1;0,0
05/05/26 03.02;25,8;96,6;13.1;0,0
05/05/26 03.32;25,8;96,4;9.9;0,0
05/05/26 04.02;25,1;98,8;17.0;0,0
05/05/26 04.32;25,3;98,0;13.8;22,5
05/05/26 05.02;25,0;99,9;14.4;22,5
05/05/26 05.32;24,7;99,7;17.4;22,8
05/05/26 06.02;25,2;99,4;17.1;26,7
05/05/26 06.32;25,2;99,9;15.3;22,5
05/05/26 07.02;25,9;96,5;10.5;70,0
05/05/26 07.32;27,1;94,5;7.0;125,8
05/05/26 08.02;28,8;91,2;8.8;143,3
05/05/26 08.32;29,7;86,4;7.0;170,8
05/05/26 09.02;30,3;81,1;6.3;215,0
05/05/26 09.32;31,1;79,9;7.4;279,2
05/05/26 10.02;32,4;77,2;8.8;337,5
07/05/26 13.18;34,9;63,0;10.4;627,2
07/05/26 13.48;34,6;59,6;12.4;561,5
07/05/26 14.18;34,2;58,8;11.0;506,5
07/05/26 14.48;35,0;56,2;11.4;609,5
07/05/26 15.39;32,5;67,2;11.5;72,5
07/05/26 16.09;30,7;74,0;10.1;93,3
07/05/26 16.39;30,1;79,7;10.1;45,0
07/05/26 17.09;29,4;84,1;10.7;33,3
07/05/26 17.39;28,8;87,2;10.2;15,7
07/05/26 18.09;28,3;89,1;11.9;22,5
07/05/26 18.39;27,6;92,4;9.4;22,5
07/05/26 19.09;27,6;91,1;9.5;22,5
07/05/26 19.39;27,6;90,8;8.8;22,5
07/05/26 20.09;27,7;89,5;9.6;22,5
07/05/26 20.39;27,5;88,1;11.4;22,5
07/05/26 21.09;27,4;88,5;10.5;0,0
07/05/26 21.39;27,2;87,7;10.6;0,0
07/05/26 22.09;27,1;87,3;9.2;0,0
07/05/26 22.39;27,0;87,5;8.2;0,0
07/05/26 23.09;26,8;87,1;10.7;0,0
07/05/26 23.39;26,7;86,7;9.9;0,0
08/05/26 00.09;26,6;86,3;9.2;0,0
08/05/26 00.39;26,6;84,1;7.1;0,0
08/05/26 01.09;26,6;83,8;10.0;0,0
08/05/26 01.39;26,7;83,0;7.7;0,0
08/05/26 02.09;26,3;84,9;12.1;0,0
08/05/26 02.39;26,1;87,6;11.8;0,0
08/05/26 03.09;26,1;87,7;12.2;0,0
08/05/26 03.39;26,0;89,0;12.1;0,0
08/05/26 04.20;25,5;92,2;14.2;22,5
08/05/26 04.50;25,9;90,7;10.9;22,5
08/05/26 05.20;25,8;91,1;13.5;22,5
08/05/26 05.50;25,6;92,3;13.6;19,2
08/05/26 06.20;25,8;94,6;14.1;43,3
08/05/26 06.50;26,7;90,7;14.2;62,5
08/05/26 07.20;27,6;88,7;13.9;80,0
08/05/26 07.50;28,9;87,2;14.7;80,0
08/05/26 08.20;29,7;80,8;10.7;80,8
08/05/26 08.50;30,6;77,8;12.9;102,5
08/05/26 09.20;31,4;74,0;13.7;126,7
08/05/26 09.50;31,5;71,9;12.6;124,2
08/05/26 10.20;32,5;70,5;14.5;154,3
08/05/26 10.50;33,5;64,1;14.7;155,0
08/05/26 11.20;34,8;64,4;13.6;177,5
08/05/26 11.50;35,4;61,4;16.8;177,5
08/05/26 12.20;35,4;64,7;20.1;215,0
08/05/26 12.50;36,3;63,3;14.0;241,2
08/05/26 13.20;36,1;61,8;13.6;532,7
08/05/26 13.50;35,9;62,6;21.9;467,7
08/05/26 14.20;34,5;65,6;16.3;401,7
08/05/26 14.50;34,0;68,4;19.0;361,7
08/05/26 15.20;32,3;73,4;17.4;69,2
08/05/26 15.50;31,6;76,4;17.6;47,5
08/05/26 16.20;31,2;80,1;14.0;43,3
08/05/26 16.50;30,4;80,2;17.4;17,5
08/05/26 17.36;27,6;90,0;20.0;22,5
08/05/26 18.06;26,9;94,4;17.0;22,5
08/05/26 18.36;27,3;94,2;18.4;22,5
08/05/26 19.06;27,4;94,5;17.3;22,5
08/05/26 19.36;27,6;94,8;26.4;22,5
08/05/26 20.06;27,2;95,1;29.5;22,5
08/05/26 20.36;27,4;95,6;18.3;22,5
08/05/26 21.06;27,7;94,4;17.5;0,0
08/05/26 21.36;27,3;97,8;17.0;0,0
08/05/26 22.06;27,7;94,0;20.8;0,0
08/05/26 22.36;27,6;95,2;24.3;0,0
08/05/26 23.06;27,8;92,6;24.4;0,0
08/05/26 23.36;27,6;92,7;24.1;0,0
